157,2499,9,291,34,323,258,239,3315,769
49,133,13,29,37,60,1621,40,1621,40
299,1390,299,7829,299,1523,1871,75,974,2110
14508,1340,22069,22070,10990,2730,22071,10991,14509,22072
1151,7,120,30,19,1748,327,2642,7,16
28,2558,4,6,34,170,661,2256,2997,824
499,1722,341,602,224,192,46,8,123,561
10999,1100,975,5000,22078,14510,5001,11000,16,4500
140,49,62,810,62,25,7831,22079,1083,1549
5,29,37,60,676,9000,40,676,9000,40
21,744,355,24,4267,398,2373,1962,1279,158
22118,22119,22120,22121,22122,22123,22124,22125,22126,222
4,424,12,11,9,77,11,672,12,4
11011,14527,3205,14528,14529,14530,7838,14531,2901,9004
1994,93,630,314,215,454,9005,14532,15,206
2804,153,5012,2651,15,2,6973,14543,517,6
1,2,97,90,5383,469,8,29,37,420
1435,24,97,36,49,870,539,104,1166,25
193,5,431,73,1135,18,2564,73,441,647
3001,6288,1279,2208,111,2908,1318,15,846,3463
103,103,1528,1282,2909,1467,30,19,45,938
219,13,326,107,221,187,193,13,26,1113
49,133,13,29,37,60,1621,40,1621,40
244,41,126,188,5,1779,126,41,215,206
353,2380,63,63,1996,2656,769,357,173,421
188,5,120,181,12,4,2003,12,11,423
272,46,377,561,51,28,58,4511,6,561
1346,511,8,381,451,106,76,285,15,64
5798,6981,22184,5024,8,303,168,14577,71,2321
48,5025,149,617,11033,829,1202,99,105,91
16,741,739,113,9038,14581,85,774,14582,206
12,4,12,11,423,11,672,12,11,423
149,4044,188,4044,235,4,905,2570,9040,4755
909,1455,67,3210,460,38,189,684,266,3646
139,31,370,897,69,151,199,385,1630,7
271,954,168,824,8,189,2323,180,3328,105
4,12,11,423,128,120,181,12,11,423
2,54,167,8,29,37,60,54,167,64
5804,29,37,60,11,270,40,11,270,40
496,2007,117,2815,819,43,434,85,2743,3013
813,606,474,516,98,175,76,1100,123,230
772,872,366,66,590,1285,81,197,11043,616
508,77,9,53,378,508,77,9,53,378
12,4,12,11,423,11,672,12,11,423
239,8,30,19,16,280,33,190,145,3473
7,1265,241,623,37,418,31,15,596,693
22258,22259,22260,22261,22262,22263,22264,22265,22266,22267
2088,51,24,149,6988,208,2088,4288,222,6988
218,2909,5812,4521,9047,36,9048,711,1150,4759
311,5821,2918,284,28,22436,2918,6,3478,1118
14636,3650,452,5403,175,2520,7879,7878,11065,1533
2,94,13,418,31,14,225,64,0,0
631,578,63,558,272,631,3226,8,3651,39
45,358,34,8,73,85,865,22447,9066,14639
139,578,31,2389,155,155,7,669,692,558
14641,1815,77,18,11072,10,14642,287,504,64
534,19,407,891,648,140,197,2751,891,648
263,4,2090,11,9,77,11,470,263,4
62,94,49,810,25,12,6326,11075,1083,1549
1871,62,9,20,803,8,630,47,15,289
192,967,215,5833,1343,1628,8,657,831,14656
31,8,30,19,45,15,1067,85,2275,14657
